Hiragana,Meaning
えんぐらふ,
えんげい,
えんじ,
えんじん,
えんちょうせん,
えんぶん,
おおあめ,
おおかた,
おおがた,
おおぎり,
おおごえ,
おおさかじょう,
おおばか,
おおびん,
おおむかし,
おおや,
おおゆき,
おかず,
おかねもち,
おかみ,
おこし,
おこずかい,
おさななじみ,
おせじ,
おそうざい,
おそれ,
おたがいさま,
おたま,
おつかい,
おでこ,
おとこなき,
おとこのこ,
おとしより,
おととい,
おとな,
おに,
おにあい,
おにぎり,
おにごっこ,
おふぃす,
おべんとう,
おぼん,
おむれつ,
おもい,
おもてなし,
おもみ,
おやこ,
おやつ,
おやゆび,
おらんうーたん,
おり,
おりんぴっく,
おれい,
おれせんぐらふ,
おれんじ,
おわり,
おんしつ,
おんしゃ,
おんせい,
おんせん,
おんだんか,
おんど,
おんなのこ,
か,
かーなびげーしょん,
がい,
かいいんせい,
かいかく,
かいすい,
かいそう,
かいそく,
かいぬし,
かいひ,
がいらいご,
かうんたー,
かえる,
かえんほうしゃき,
かおみしり,
かおり,
がか,
かかく,
かがく,
かがくちょうみりょう,
かかと,
かがみ,
かき,
がく,
かくうせいきゅう,
かくげん,
かくさ,
がくせいしょう,
かくち,
かくとうぎ,
がくひ,
がくぶ,
がくぶち,
かくへいき,
がくめい,
がくれき,
かけぶとん,
かこ,
かこきゅう,
かさい,
かざん,
かじ,
かしかり,
かじゅえん,
かしょ,
かしらもじ,
かず,
かすてら,
かすみがせき,
かせい,
かぜい,
かせいじん,
かせき,
かせっとこんろ,
かた,
かたがわ,
かたつむり,
かたまり,
かたみちきっぷ,
かち,
かちょう,
かっき,
がっき,
かっこ,
がっこうじゅう,
かつさんど,
かっぷる,
かてい,
かでんりさいくるほう,
かど,
かなしばり,
かなしみ,
かなづち,
かねもち,
かねん,
かのうせい,
かばー,
かはんしん／じょうはんしん,
かはんすう,
かび,
かぶ,
かぶとむし,
かふんしょう,
かべ,
かべぎわ,
かみ,
かみがた,
かみさま,
かみなり,
かみのけ,
かみん,
かめらまん,
がめん,
かも,
かもめ,
かや,
からーこんたくと,
からす,
からだつき,
からて,
からみ,
かりゅう,
かるがも,
かるしうむ,
かるちゃーしょっく,
かれーうどん,
がれーじ,
かれーらいす,
かれら,
かわ,
かわくだり,
かわりに,
がん,
かんおけ,
かんがえごと,
かんきせん,
かんきゃく,
かんきょう,
かんきょうもんだい,
かんけいしゃ,
かんご,
かんこうち,
かんごふ,
かんじゃ,
がんしょ,
かんじょう,
かんじょうろん,
かんしん,
かんせつぜい,
かんそう,
かんそうぶん,
かんちょうがい,
かんとう,
かんとく,
かんない,
かんにちじてん,
かんぽうやく,
かんようく,
かんらんしゃ,
かんわじてん,
きあつ,
きーぼーど,
きーわーど,
ぎいん,
きおん,
きかく,
きかくしょ,
きかん,
きかん　,
きき,
ききかん,
きぎょう,
きぐ,
きこう,
きこん,
きじ,
ぎし,
きしゃ,
きしゅうせんぽう,
きじゅん,
きしょう,
きしょうてんけつ,
ぎせい,
きせき,
きせつ,
きそ,
きたい,
ぎたりすと,
きちょうひん,
きっかけ,
きつね,
きてん,
きどくむし,
ぎねすぶっく,
きのこ,
きのみ,
きぼ,
きまつ,
きまり,
きまりもんく,
ぎむ,
ぎもん,
ぎゃくこうか,
ぎゃくじびき,
きゃっかんせい,
ぎゃっぷ,
きゃべつ,
きゃんぱす,
ぎゃんぶる,
きゅう,
きゅうか,
きゅうかんび,
きゅうきゅうしゃ,
きゅうけいしつ,
きゅうけいじょ,
きゅうさく,
きゅうじん,
きゅうぶれーき,
きゅうよ,
きゅうよう,
きょう,
きょうかい,
きょうかいせん,
きょうき,
きょうぎじょう,
ぎょうしゃ,
きょうじゅ,
きょうしゅうじょ,
きょうつうてん,
きょうどうたい,
きょうふ,
きょうよう,
きょうりゅう,
ぎょうれつ,
ぎょぎょう,
きょり,
ぎょるい,
きり,
きりきず,
きろく,
きん,
ぎん,
きんかくじ,
きんけん,
きんこ,
きんちょうかん,
きんりん,
きんろう,
くうしつ,
くうしゃ,
ぐーちょきぱー,
くーらー,
くがつ,
くぎ,
くじょう,
くすり,
くすりゆび,
ぐたいせい,
ぐち,
くちばし,
くちびる,
くに,
くび,
くびかざり,
くびわ,
くぶん,
くも,
くもり,
くやしさ,
くらくしょん,
ぐらす,
くらすじゅう,
くらっかー,
ぐらふぃっく,
ぐりーん,
くりすますつりー,
くるま,
くるまいす,
ぐれー,
くれーむ,
くろ,
くろおび,
くろーんにんげん,
ぐんたい,
けあ,
げい,
けいえいしゃ,
けいき,
けいけんきゅう,
けいこうとう,
けいざいせい,
けいじ,
けいしき,
けいじどうしゃ,
けいじばん,
げいじゅつ,
けいたい,
けいとうじゅ,
けいむしょ,
けいり,
げーむ,
げきじょう,
げすいどう,
げすと,
けた,
げたばこ,
けちゃっぷ,
けつ,
けつえき,
けっか,
けっかん,
げっきゅう,
けっしょうせん,
けっていせん,
けってん,
げつまつ,
けつろん,
けむり,
げんかい,
げんかん,
げんご,
けんこう,
げんこう,
けんこうしんだんしょ,
げんこうようし,
げんざい,
げんじつ,
げんじつせい,
げんじん,
げんだいじん,
げんち,
げんどう,
げんどうりょく,
げんば,
こ,
こい,
こいん,
こうい,
こういしつ,
こうか,
こうかがくすもっぐ,
こうがく,
ごうかくきがん,
こうき,
こうきしん,
こうきょう,
こうぎょう,
こうけいき,
こうげん,
こうご,
こうこうせい,
こうこく,
こうざ,
こうしゃ,
こうしゅうでんわ,
こうしょとくしゃ,
こうずい,
ごうせいちゃくしょくりょう,
ごうせいほぞんりょう,
こうそく,
こうそくどうろ,
こうち,
こうちょう,
こうつうじこ,
こうつうひ,
ごうとう,
こうない,
こうねつひ,
こうはい,
こうはん,
こうほうし,
こうむいん,
ごうりせい,
こうれいしゃ,
こえ,
こーど,
こおどり,
こーなー,
こーひー,
こおり,
こおりざとう,
ごーるでんあわー,
ごーるでんうぃーく,
ごーるど,
こがた,
ごがつ,
こきゃく,
こくぎ,
こくご,
こくさいれんごう,
こくさん,
こくせいちょうさ,
こくせき,
こくばん,
こくみん,
こくみんかいほけんせいど,
こくみんせい,
ごけー,
ここ,
こころ,
こころえ,
こし,
こしつ,
ごじゅうおんじゅん,
こじん,
こすと,
こせい,
こぜに,
こっかいぎいん,
こっかいぎじどう,
こっかけんりょく,
こっき,
ことばづかい,
ことわざ,
このみ,
こばなし,
こぶ,
ごみ,
こみゅにけーしょん,
こめ,
こものいれ,
こゆび,
こよみ,
ごらいこう,
こらむ,
ごりら,
これくしょん,
こんかい,
こんきょ,
こんくーる,
こんせいき,
こんたくと,
こんたくとれんず,
こんちゅうひょうほん,
こんにち※,
こんにゃく,
こんぱ,
こんびに,
こんぽうざい,
さ,
さーくる,
さーふぃん,
さーもぐらふぃ,
さい,
さいあく,
ざいあくかん,
さいがい,
ざいげん,
さいこう,
さいしゅつ,
ざいせい,
ざいたく,
さいだんげん,
さいていげん,
さいどみらー,
さいにゅう,
さいぼう,
さいゆうせん,
さうすぽー,
さか,
さかさま,
さき,
さくしか,
さくねん,
さくばん,
さくひん,
さくもつ,
ささ,
ざしき,
さっか,
ざつがく,
さっきょくか,
さぷりめんと,
さぼてん,
さま,
さむけ,
さむげたん,
さらりーまん,
さらんらっぷ,
さんかくかんけい,
さんかくけい,
さんがつ,
さんかんしおん,
さんぎいん,
さんぎょう,
さんけー,
さんこう,
さんこうしょ,
さんすう,
さんそ,
さんたくろーす,
さんだる,
さんち,
さんちちょくそう,
さんどぼっくす,
さんぱつ,
さんらいず,
しーげんご,汎用プログラミング言語（笑）である。めっちゃ速い．
しーじー,
しーしゃーぷ,マイクロソフトのC言語。
しーぷらすぷらす,C言語の上位互換。こっちのほうが速いときもある。
しーん,
じかい,
しかく,
しがく,
しかくけい,
じがじさん,
しがつ,
じき,
じきゅう,
しきゅうしき,
じきゅうりょく,
しくみ,
しげん,
じこう,
じごくえず,
ししゃ,
しじょう,
じじょう,
ししょうしゃ,
じしん,
しせい,
しせつ,
しぜんかんきょう,
じそく,
しそくえんざん,
しそん,
じたい,
じだい,
したしみ,
しちがつ,
しちごさん,
しちごちょう,
しちゅえーしょん,
しちょうしゃ,
しちょうりつ,
しつ,
しつぎょうりつ,
しつけ,
じっせき,
しつど,
しつない,
しっぷ,
じつりょく,
してん,
じてん,
じどう,
じどうはんばいき,
しなんのわざ,
しはらい,
しひょう,
しぼう,
しぼうりつ,
しみゅれーしょん,
しみん,
しめきり,
じめん,
じもと,
しもべ,
しゃいん,
しゃかいじん,
しゃかいほけん,
しゃこ,
しゃせん,
しゃちょう,
しゃっきん,
しゃったーちゃんす,
しゃない,
じゃば,あなたとJAVA，今すぐダウンロー　　\n　　　ド
じゃばすくりぷと,お前が見てるこのブラウザで動いてるやつ。数字に文字列を入れれたりする。Javaとは無関係。
しゃめん,
しゃわー,
じゃんけん,
じゃんけんぽん,
じゃんる,
しゅ,
じゅう,
じゅういちがつ,
じゅうがつ,
しゅうかんし,
しゅうぎいん,
しゅうきょう,
じゅうぎょういん,
じゆうけんきゅう,
しゅうしかてい,
じゅうしょろく,
しゅうしんこよう,
じゅうだいせい,
じゅうなんたいそう,
じゅうにがつ,
じゅうにん,
じゅうねんご,
しゅうへん,
じゅうみん,
じゅうみんぜい,
じゅうようせい,
しゅうりつ,
じゅぎょうりょう,
しゅくじつ,
じゅけいしゃ,
しゅしょう,
しゅじんこう,
しゅぜい,
しゅっしん,
しゅっしんこう,
しゅっぱんしゃ,
しゅのう,
じゅみょう,
じゅよう,
しゅりょう,
しゅれっだー,
しゅんかしゅうとう,
しゅんかん,
じゅんけっしょう,
じゅんじゅんけっしょう,
じゅんばん,
じゅんぷうまんぱん,
じゅんぶんがく,
じゅんゆうしょう,
しょう,
じょうい,
しょうがい,
しょうがく～ねんせい,
しょうがくきん,
しょうがくせい,
しょうかん,
しょうぎ,
しょうきぼ,
じょうきゅう,
じょうきょう,
じょうけん,
しょうこ,
しょうさい,
じょうし,
しょうしか,
じょうしき,
しょうしゃ,
しょうすうは,
じょうたい,
しょうたいけん,
しょうたいじょう,
じょうだん,
しょうちょう,
しょうねん,
しょうねんやきゅう,
しょうばい,
じょうはんしん,
しょうひしゃ,
しょうひぜい,
しょうひん,
しょうひんけん,
じょうほう,
じょうほうぎじゅつ,
しょうぼうし,
しょうみきげん,
しょうめいしょ,
しょうめん,
じょうりゅう,
しようりょうきん,
しょうわくせい,
じょーく,
しょーぺんはうあー,
しょきゅう,
しょくいん,
しょくぎょう,
しょくざい,
しょくたく,
しょくちゅうどく,
しょくひ,
しょくひん,
しょこく,
しょこん,
しょざい,
しょしんりょう,
しょぞん,
しょとくぜい,
しょにち,
しょねんど,
じょやのかね,
じょゆう,
しり,
しりあい,
しりーず,
しりとり,
しるし,
しるばー,
しるばーさんぎょう,
しろおび,
しわ,
しんがた,
しんきろく,
しんきんかん,
しんぐる,
しんけいしつ,
しんこくさ,
しんさく,
しんしふく,
しんしゃ,
しんじゃ,
じんじゃ,
しんじん,
じんせい,
しんせき,
しんぞう,
じんたい,
しんちょう,
しんど,
しんにゅうせい,
しんぱん,
しんぷ,
じんぶjんかがく,
しんぼくかい,
しんや,
しんやどらま,
しんゆう,
しんり,
しんりがく,
しんりん,
じんるい,
しんろう,
すいがら,
すいせんじょう,
すうぇっとぱんつ,
すうがく,
すうじ,
すうち,
すうどく,
すうにん,
すがた,
すぎ,
すきゃんだる,
すくい,
すけーる,
すごろく,
すずめ,
すたっふ,
すたんぷかーど,
ずつう,
すてっぷ,
すてんどぐらす,
すとーかー,
すとーぶ,
すとーりー,
すとらいき,
すとれーと,
すなあらし,
すなはま,
すぱげてぃ,
すぴーど,
すぴーどいはん,
すぷーん,
すぺーす,
すべりだい,
すましがお,
すみ,
すりきず,
すりむく,
すろうすたーと,まんがタイムきららにて連載している、篤見唯子による4コマ漫画。スロウスターターストーリー。
すろーがん,
すわいここち,
せいえん,
せいか,
せいかく,
せいかつひ,
せいき,
せいぎ,
せいきゅうしょ,
ぜいきん,
せいさく,
せいし,
せいしが,
せいじか,
せいしゃいん,
せいしょうねん,
せいしん,
せいじんしき,
せいせきしょうめいしょ,
せいぞう,
せいちょうほるもん,
せいと,
せいねんがっぴ,
せいのう,
せいふ,
せいぶつ,
せいぶん,
せいべつ,
せいほうけい,
せいめい,
せいよう,
ぜいりつ,
せーふ,
せーるす,
せーるすまん,
せかいいち,
せきたん,
せきにん,
せっき,
せっけっきゅう,
せつなさ,
ぜつめつ,
せなか,
せねか,
せりふ,
せわ,
ぜんいん,
ぜんかい,
ぜんき,
せんきょ,
せんさー,
せんしゅ,
ぜんしん,
せんしんこく,
ぜんしんたいつ,
せんせーしょん,
ぜんせかい,
せんたくし,
せんとう,
せんにゅうかん,
せんぱい,
ぜんはん,
せんぽう,
ぜんめん,
せんもんか,
せんもんようご,
せんよう,
ぜんりょく,
そうあたりせん,
そうおん,
そうがく,
そうかんかんけい,
そうき,
そうげん,
そうざい,
そうさく,
そうしょくひん,
そうぞうりょく,
そうぞくぜい,
そうちょう,
そうどう,
そうりだいじん,
そうりょう,
そーす,
そくめん,
そざい,
そしき,
そしつ,
そせん,
そだいごみ,
そっきょうえんそう,
そのへん,
そば,
そふとくりーむ,
それぞれ,
そん,
だい～しぼう,
だいおきしん,
だいがくいんせい,
だいがくせい,
たいきちゅう,
たいけい,
たいこうしゃ,
だいこんおろし,
たいさ,
たいさく,
たいしつ,
たいじゅう,
たいじゅうけい,
たいしょう,
だいせいこう,
たいせいよう,
たいせき,
たいちょうふりょう,
たいとる,
たいばつ,
たいはん,
だいびんぐ,
たいぷ,
たいふうのめ,
だいぶぶん,
たいへいよう,
たいむかぷせる,
だいめい,
たいや,
たいよう,
たいりく,
たいりょう,
たからくじ,
たからもの,
たき,
たくしー,
たくはいびん,
だせん,
ただ,
ただいま,
たちば,
だっきゅう,
たっぷだんす,
たて,
たてじく,
たとえ,
たね,
たび,
だぶりゅーえっちおー,
だぶるぱんち,
たべほうだい,
たべものや,
たようせい,
たらばがに,
たれんと,
たわー,
たんい,
たんきかん,
たんご,
たんすいかぶつ,
だんたいしゃしん,
だんとう,
たんぱくしつ,
だんぼーる,
だんゆう,
だんらく,
だんらん,
ちい,
ちーずふぉんでゅ,
ちえ,
ちぇーんてん,
ちぇす,
ちかい,
ちがい,
ちかしつ,
ちかすい,
ちかすいろ,
ちかみち,
ちから,
ちきゅう,
ちじょう,
ちほう,
ちゃーはん,
ちゃいむ,
ちゃいるどしーと,
ちゃんぴおん,
ちゅーいんぐがむ,
ちゅうおう,
ちゅうがた,
ちゅうかりょうり,
ちゅうきゅう,
ちゅうこしゃ,
ちゅうじゅん,
ちゅうにちじてん,
ちゅうねん,
ちゅうや,
ちゅーりっぷ,
ちゅうりんじょう,
ちょうかいしけん,
ちょうきかん,
ちょうじかん,
ちょうじゅ,
ちょうじょう,
ちょうせんじょう,
ちょうないかんきょう,
ちょうのうりょく,
ちょうるい,
ちょくご,
ちょくせつぜい,
ちょこれーと,
ちょっかんひりつ,
ちょっけい,
ちょめいじん,
ちり,
ちんぱんじー,
ついしけん,
つうち,
つうちょう,
つえ,
つき,
つくり,
つけもの,
つなみ,
つなわたり,
つぶ,
つまさき,
つみ,
つめ,
つめあと,
つゆ,
つゆあけ,
つよび,
つよみ,
つりばし,
てい／ちゅうしょとくしゃ,
でぃーけー,
でぃーぴーいー,
てぃーぶれいく,
ていがく,
ていしょとくしゃ,
でぃずにーらんど,
ていちもう,
てぃっしゅ,
ていど,
でーた,
でーと,
てーま,
てーまぱーく,
でーむおーばー,
できごと,
てきせい,
てくにっく,
てくび,
でざーと,
でざいなー,
てさき,
てじな,
てすうりょう,
てすり,
てちょう,
てつがくしゃ,
てっかまき,
てつどう,
てにす,
てま,
でも,
てれび,
てん,
てんいん,
てんかぶつ,
でんきゅう,
でんげん,
てんこう,
てんさい,
でんしじしょ,
でんじしゃく,
てんじじょう,
てんじんさま,
てんすう,
てんちのさ,
でんちゅう,
てんとう,
でんとう,
てんとうむし,
てんどん,
てんねん,
てんのう,
でんりょくがいしゃ,
でんわちょう,
でんわばんごう,
とうあんようし,
とうかい,
どうかん,
どうき,
とうきょうたわわー,
とうきょうどーむ,
とうけい,
どうこうかい,
とうじ,
とうしゃ,
どうせい,
どうそうかい,
どうちょうあつりょく,
どうとく,
とうなん,
とうぶん,
とうよう,
どうりょう,
どうろ,
とおく,
どーなつ,
とーなめんと,
どーぴんぐ,
どーむきゅうじょう,
とかい,
どきゅめんたりー,
どくじ,
とげ,
どこも,
ところ,
とざん,
とし,
どじょう,
としより,
としん,
とちゅう,
どっかい,
とっぷ,
どぼく,
とら,
どらいまんごー,
どらいやー,
とらっくめいかー,
とらんぷ,
とりあつかいせつめいしょ,
とりくみ,
とりしまり,
とりっくあーと,
どる,
どれす,
どれっしんぐ,
どれも,
どろ,
どろみず,
とろろ,
とん,
ないがい,
ないしょばなし,
ないふ,
ないよう,
ながそで,
ながたび,
ながねん,
なかま,
なかみ,
ながめ,
なかゆび,
ながれ,
なきがら,
なきごえ,
なし,
なじみ,
なす,
なぞ,
なたでここ,
なっとう,
なつみかん,
なつやすみ,
ななめ,
なま,
なまえ,
なまたまご,
なまはんか,
なまへんじ,
なまみ,
なやみ,
なんいど,
なんきょく,
なんべい,
なんぼく,
にがおえ,
にがつ,
にがみ,
にぎりこぶし,
にくしょく,
にさんかたんそ,
にじょう,
にせもの,
にそく,
にそくほこう,
にたまご,
にっかんじてん,
にっしょく,
にっちゅうじてん,
にほんかい,
にほんしゅ,
にほんじゅう,
にほんちず,
にゅあんす,
にゅうがくきん,
にゅうしゃしき,
にゅうじょうしゃ,
にゅうじょうりょう,
にゅーす,
にゅうどうぐも,
にわかあめ,
にんげん,
にんじょう,
ぬの,
ねいてぃぶ,
ねおんらいと,
ねずみ,
ねた,
ねたきり,
ねつい,
ねっくれす,
ねぼう,
ねんがじょう,
ねんこうじょれつ,
ねんぽうせい,
ねんまつ,
ねんれい,
のう,
のうぎょう,
のうぜい,
のうぜいしゃ,
のうそっちゅう,
のうど,
のうないおせん,
のうやく,
のうりょく,
のーとがた,
のぞみ,
のど,
のはら,
のみもの,
のり,
のりすごす,
ばーげんせーる,
ぱーせんと,
ぱーてぃーたいむ,
ぱーとなー,
はーどぷろせっさー,
ぱーふぇくと,
はい,
ばい,
はいいろ,
ばいう,
はいきがす,
はいきこう,
はいきぶつ,
ばいきんぐ,
はいく,
ばいく,
はいけい,
はいじゃっく,
はいしゃふっかつせん,
はいすい,
はいてくさんぎょう,
ばいばいかかく,
はいひーる,
はいゆう,
ばうむくーへん,
はか,
ばか,
はかなさ,
はくしかてい,
はくりょく,
はざーどらんぷ,
はさみ,
はし,
はじ,
ばすけっとぼーる,
ぱすた,
ぱすぽーと,
ぱずる,
はだ,
ぱたーん,
はたけ,
はだし,
はたらき,
はち,
ばち,
はちがつ,
はちみつ,
はちゅうるい,
ぱっけーじ,
ぱっけーじつあー,
ばってぃんぐせんたー,
はつでんき,
はつねつ,
はっぽうしゅ,
はと,
ぱとろーる,
はな,
ばなな,
はね,
はば,
ばめん,
はら,
ばら,
ばらえてぃ,
ぱらさいと,
はらっぱ,
ばらんす,
はりがみ,
ばれーぼーる,
はんい,
はんがー,
はんがく,
はんけい,
はんこうき,
ばんこくはくらんかい,
ばんこんか,
はんざい,
はんしんはんぎ,
はんそで,
ぱんだ,
はんちょう,
ぱんつ,
はんどる,
はんにん,
ばんのう,
はんばーがー,
はんばいてん,
ひあたり,
びーえす,
ぴーく,
ひーろー,
ひがい,
ひがいしゃ,
ひがえり,
ひがさ,
ひかり,
ひきかえけん,
ひきょうもの,
ひげ,
ひごろ,
ひざ,
ぴざ,
ぴさのしゃとう,
ひじ,
びじねす,
ひじゅう,
びじゅつかん,
ひじょうべる,
ひたい,
びたみんしー,
ひっきしけん,
ひっこし,
ひつようせい,
ひとくち,
ひとこと,
ひとさしゆび,
ひとたち,
ひとばんじゅう,
ひとまかせ,
ひとり,
ひとりぐらし,
ひとりごと,
ひなた,
ひにく,
ひので,
ひばな,
ひび,
ひふ,
ひまん,
ひゃっかじてん,
ひゃっきやこう,
びゅっふぇ,
ひょう,
びょういん,
びょういんおくり,
びようし,
びようしつ,
ひょうしょうだい,
びょうそく,
ぴらみっど,
ひりょう,
びる,
ひるごはん,
ひろうえん,
ぴんく,
ひんしつ,
ぴんち,
びんぼうがみ,
びんぼうくじ,
ふぁーすとふーど,
ふぁみりーれすとらん,
ふぃーるどあすれちっく,
ふいっち,
ふうけい,
ふうし,
ふうふ,
ぶーむ,
ふぇあぷれー,
ふぇすてぃばる,
ふぉーく,
ふか,
ぶがいしゃ,
ぶかつどう,
ふかみ,
ふきょう,
ふく,
ふくし,
ふけいき,
ふじさん,
ふじん,
ふじんふく,
ふせいかい,
ぶそく,
ふたご,
ぶたにく,
ぶたにしんじゅ,
ふちゅうい,
ぶちょう,
ふっく,
ぶっつけほんばん,
ぶつり,
ふどうさんや,
ふとん,
ふね,
ふねん,
ぶひん,
ぶぶん,
ふまん,
ぶらうん,
ぷらす,
ぶらっく,
ふらっしゅばっく,
ぶらんこ,
ぶらんど,
ぶらんどもの,
ふり,
ふりーきっく,
ふりーたー,
ふりーまーけっと,
ぶるー,
ふるーつ,
ぶるーべりー,
ふるさと,
ぶるどっぐ,
ふるほんや,
ぶれーかー,
ぶれーき,
ぷれーぱーく,
ぷれぜんと,
ぷろ,
ふろうしゃ,
ぶろーどばんど,
ぷろじぇくと,
ぷろでゅーさー,
ふんいき,
ふんか,
ぶんかざい,
ぶんきてん,
ぶんけい,
ぶんしゅう,
ぶんしょう,
ふんそく,
ぶんたい,
ぶんつう,
ぶんみゃく,
ぶんや,
ぶんるい,
へあすたいる,
へい,
へいじつ,
へいしゃ,
へいち,
へいねん,
へいほうめーとる,
へいめん,
へいや,
べーかりー,
ぺーす,
へこみ,
べつ,
ぺっとぼとる,
へっどらいと,
べっとり,
へび,
べらんだ,
へりこぷたー,
べる,
べると,
ぺんき,
ぺんぎん,
へんしん,
べんち,
ほう,
ぼう,
ぼうぐらふ,
ほうげん,
ぼうけん,
ほうしゅう,
ほうしん,
ほうじんぜい,
ほうたい,
ほうちょう,
ぼうはんかめら,
ぼうふうう,
ぼうりょく,
ほうれいせん,
ほうれんそう,
ほお,
ぼーだーらいん,
ほーむ,
ほーむしっく,
ぼきん,
ほけんじょ,
ほけんりょう,
ほこり,
ぽじしょん,
ほしょうにん,
ぽたーじゅ,
ほっちきす,
ほっとどっぐ,
ぽっぷこーん,
ぼでぃ,
ぼでぃーそーぷ,
ぼでぃーびるでぃんぐ,
ぼでぃたっち,
ぼでぃらんげーじ,
ぽてとちっぷす,
ほにゅうるい,
ほね,
ほも・さぴえんす,
ほれいざい,
ほわいと,
ほわいとぼーど,
ほんじつ,
ほんしょ,
ほんたい,
ほんだぎけんこうぎょう,
ぼんち,
ほんにん,
ほんばん,
ほんぶん,
ほんもの,
ほんや,
ほんらい,
まーじゃん,くそゲー。
まーまれーど,
まいく,
まいくろ,
まいなす,
まいなんばー,
まいにち,
まえあし,
まえおき,
まえむき,
まきびし,
まく,
まぐにちゅーど,
まぐろ,
まじしゃん,
まじっく,
まち,
まちじゅう,
まっかなうそ,
まつげ,
まっさーじ,
まつり,
まどぎわ,
まどぐち,
まどり,
まどれーぬ,
まなー,
まなつ,
まにあっく,
まふらー,
まる,
まるみ,
まんいん,
まんが,
まんがきっさ,
まんがたいむきらら,芳文社から発刊されている月刊4コマ漫画雑誌である。毎月9日発売！！
まんげつ,
まんざい,
まんしつ,
まんしゃ,
まんじゅう,
まんぞくかん,
まんねり,
みーとそーすぱすた,
みーとぼーる,
みかいけつ,
みかけ,
みかた,
みかんせい,
みき,
みこみ,
みこんしゃ,
みしょう,
みす,
みずうみ,
みずぎ,
みすてりあす,
みせいねん,
みそしる,
みだし,
みだしご,
みち,
みちなかば,
みつあみ,
みつぼし,
みてい,
みとおし,
みどり,
みなみはんきゅう,
みねらる,
みのまわり,
みはったつ,
みぶり,
みみなり,
みみもと,
みゅーじしゃん,
みらい,
みらいよち,
みりぐらむ,
みりょく,
みんぽう,
むかい,
むかで,
むかんしん,
むし,
むじんえき,
むじんとう,
むちつじょ,
むちゅう,
むめい,
むらさき,
むらじゅう,
むらはちぶ,
むりょうけん,
むりょくかん,
めいげん,
めいさい,
めいし,
めいよ,
めいわく,
めーかー,
めかにずむ,
めがね,
めじゃーりーぐ,
めたりっく,
めだる,
めっせーじ,
めん,
めんえきりょく,
めんきょ,
めんせつしけん,
めんたいこ,
めんどう,
もあいぞう,
もうしょ,
もうてん,
もくてきち,
もくひょう,
もじ,
もち,
もちこみ,
もっとー,
もでる,
もと,
もなりざ,
ものおき,
ものおもい,
ものがたり,
ものくろ,
ものづくり,
ものわすれ,
ももいろ,
もんく,
もんげん,
もんだい,
やぎ,
やきそば,
やきにく,
やきゅう,
やきゅうじょう,
やくしゃ,
やくだつ,
やくにん,
やくぶつ,
やくわり,
やじ,
やしき,
やたい,
やつ,
やつあたり,
やとう,
やまい,
やまかじ,
やまごや,
